"ds_anon_user_id","module","NRead","NRead_unique","NRead_trimmed","NRead_trimmed_unique","NAction","NAction_unique","TimeRead","TimeReadTrimmed","TimeAction","TimeActionToPage","TimePageToAction","CountActionToPage","CountPageToAction","wordcount","npages","nactivities","nfigures","reading_rate","percentActivities","percentPages","NRead_trimmed_overall","NRead_trimmed_unique_overall","NAction_overall","NAction_unique_overall","TimeReadTrimmed_overall","TimeAction_overall","wordcount_overall","npages_overall","nactivities_overall","nfigures_overall","retention_interval","correctness_alltries","correctness_firsttry","meanAttempts","pretestGrade","quizGrade","examGrade","dataset","domain"
"Stu_00ea8f20a0942ae1385989b901bec86f",1,9,6,8,5,55,55,1.06666666666667,0.868518518518519,88.4333333333333,5.46666666666667,134.85,11,15,29055,16,138,76,0.108564814814815,0.398550724637681,0.5625,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,241.833333333333,0.858490566037736,0.853107344632768,1.2122641509434,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",2,1,1,0,0,54,54,0,0,61.8833333333333,0.8,74.35,9,14,13370,13,104,71,0,0.519230769230769,0.0769230769230769,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,300.016666666667,0.92156862745098,0.935714285714286,1.11111111111111,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",3,13,10,10,8,47,47,1.65,1.23717948717949,97.5333333333333,4.65,153.033333333333,23,26,18690,28,98,90,0.123717948717949,0.479591836734694,0.464285714285714,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,280.7,0.895104895104895,0.892857142857143,1.13286713286713,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",4,3,3,2,2,42,42,0.566666666666667,0.272222222222222,66.8,1.36666666666667,51.3166666666667,6,9,12546,9,79,10,0.136111111111111,0.531645569620253,0.333333333333333,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,247.466666666667,0.885714285714286,0.894308943089431,1.15,0.473684210526316,0.9,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",5,8,7,6,5,19,19,3.71666666666667,0.864583333333333,121.066666666667,9.88333333333333,96.9,6,10,27131,11,55,76,0.144097222222222,0.345454545454545,0.727272727272727,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,258.366666666667,0.874074074074074,0.896551724137931,1.19259259259259,0.473684210526316,0.988888888888889,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",6,1,1,0,0,55,55,0.666666666666667,0,83.2166666666667,1.11666666666667,116.716666666667,12,16,18547,17,96,62,0,0.572916666666667,0.0588235294117647,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,835.916666666667,0.867021276595745,0.883435582822086,1.17553191489362,0.473684210526316,0.9,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",7,1,1,0,0,36,36,0.3,0,54.5166666666667,5.4,171.533333333333,18,24,15480,25,78,21,0,0.461538461538462,0.04,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,250.033333333333,0.888888888888889,0.879807692307692,1.12393162393162,0.473684210526316,0.766666666666667,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",8,2,2,1,1,14,14,6.36666666666667,3.18333333333333,19.9333333333333,2.13333333333333,191.15,11,14,14271,14,50,23,3.18333333333333,0.28,0.142857142857143,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,247.15,0.866666666666667,0.892307692307692,1.18666666666667,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",8,2,2,1,1,14,14,6.36666666666667,3.18333333333333,19.9333333333333,2.13333333333333,191.15,11,14,14271,14,50,23,3.18333333333333,0.28,0.142857142857143,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,240.083333333333,0.866666666666667,0.892307692307692,1.18666666666667,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",9,2,2,1,1,26,26,0.383333333333333,0.191666666666667,42.7,0.566666666666667,83.2166666666667,6,8,13100,9,39,32,0.191666666666667,0.666666666666667,0.222222222222222,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,6577.96666666667,0.897435897435897,0.914285714285714,1.12820512820513,0.473684210526316,0.888888888888889,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",9,2,2,1,1,26,26,0.383333333333333,0.191666666666667,42.7,0.566666666666667,83.2166666666667,6,8,13100,9,39,32,0.191666666666667,0.666666666666667,0.222222222222222,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,246.85,0.897435897435897,0.914285714285714,1.12820512820513,0.473684210526316,0.888888888888889,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",10,0,0,0,0,37,37,0,0,45.35,0.416666666666667,112.6,7,10,16850,10,71,44,0,0.52112676056338,0,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,247.933333333333,0.903508771929825,0.912621359223301,1.1140350877193,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00ea8f20a0942ae1385989b901bec86f",11,1,1,0,0,6,6,0.0333333333333333,0,21.3666666666667,0.0833333333333333,9.51666666666667,1,2,2922,3,9,6,0,0.666666666666667,0.333333333333333,32,26,391,391,5.37235772357724,702.8,181962,155,817,511,960.416666666667,0.777777777777778,0.8,1.28888888888889,0.473684210526316,1,0.769747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",1,79,16,59,16,66,66,231.283333333333,84.2044303797468,188.183333333333,28.4833333333333,179.35,12,19,123712,17,463,404,1.42719373524995,0.142548596112311,4.64705882352941,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,269.283333333333,0.886178861788618,0.880382775119617,1.16666666666667,0.273684210526316,1,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",2,27,13,24,12,63,60,33.5333333333333,6.04259259259259,95.4,59.7833333333333,126.516666666667,10,15,32290,13,254,180,0.251774691358025,0.248031496062992,2.07692307692308,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,1584.96666666667,0.887179487179487,0.895348837209302,1.13333333333333,0.273684210526316,1,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",2,27,13,24,12,63,60,33.5333333333333,6.04259259259259,95.4,59.7833333333333,126.516666666667,10,15,32290,13,254,180,0.251774691358025,0.248031496062992,2.07692307692308,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,244.133333333333,0.887179487179487,0.895348837209302,1.13333333333333,0.273684210526316,1,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",3,86,28,61,27,45,44,46.65,13.3486434108527,189.983333333333,77.7333333333333,178.35,22,30,55011,28,341,275,0.218830219850044,0.131964809384164,3.07142857142857,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,19885.2666666667,0.830903790087464,0.876811594202899,1.3002915451895,0.273684210526316,0.8,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",3,86,28,61,27,45,44,46.65,13.3486434108527,189.983333333333,77.7333333333333,178.35,22,30,55011,28,341,275,0.218830219850044,0.131964809384164,3.07142857142857,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,261.366666666667,0.830903790087464,0.876811594202899,1.3002915451895,0.273684210526316,0.8,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",5,32,11,23,10,19,19,14.5,3.79583333333333,97.2,57.8833333333333,100.233333333333,7,10,59668,11,137,138,0.165036231884058,0.138686131386861,2.90909090909091,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,3276.1,0.841726618705036,0.844827586206897,1.20863309352518,0.273684210526316,0.988888888888889,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",5,32,11,23,10,19,19,14.5,3.79583333333333,97.2,57.8833333333333,100.233333333333,7,10,59668,11,137,138,0.165036231884058,0.138686131386861,2.90909090909091,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,461.683333333333,0.841726618705036,0.844827586206897,1.20863309352518,0.273684210526316,0.988888888888889,0.969747899159664,"ds863","psych"
"Stu_00eb70d486b24f3d4ae35852a4350739",6,42,17,32,17,62,62,53.2166666666667,24.2186507936508,168.166666666667,72.8833333333333,173.133333333333,12,17,64225,17,319,229,0.756832837301587,0.19435736677116,2.47058823529412,263,115,416,411,127.142702169625,997.9,451309,147,1992,1443,17578,0.84375,0.877659574468085,1.26785714285714,0.273684210526316,0.8,0.969747899159664,"ds863","psych"
