"ds_anon_user_id","module","NRead","NRead_unique","NRead_trimmed","NRead_trimmed_unique","NAction","NAction_unique","TimeRead","TimeReadTrimmed","TimeAction","TimeActionToPage","TimePageToAction","CountActionToPage","CountPageToAction","wordcount","npages","nactivities","nfigures","reading_rate","percentActivities","percentPages","NRead_trimmed_overall","NRead_trimmed_unique_overall","NAction_overall","NAction_unique_overall","TimeReadTrimmed_overall","TimeAction_overall","wordcount_overall","npages_overall","nactivities_overall","nfigures_overall","retention_interval","correctness_alltries","correctness_firsttry","meanAttempts","pretestGrade","quizGrade","examGrade","dataset","domain"
"Stu_8d4683d89d9c022f48870f0864950b38",2,17,14,11,11,5,5,1.33333333333333,0.640196078431373,2.05,5.5,73.45,9,9,7722,23,24,14,0.0581996434937611,0.208333333333333,0.739130434782609,126,74,18,18,325.091051454139,106.433333333333,55500,91,175,101,725.85,0.65,0.678571428571429,1.425,0.777777777777778,0.633333333333333,0.698924731182796,"ds2033","c@cm"
"Stu_8d4683d89d9c022f48870f0864950b38",4,113,60,100,58,10,10,120.133333333333,20.7575221238938,16.3666666666667,1.45,44.0833333333333,17,22,42148,68,132,81,0.207575221238938,0.0757575757575758,1.66176470588235,126,74,18,18,325.091051454139,106.433333333333,55500,91,175,101,0.2,0.569832402234637,0.554455445544555,1.74301675977654,0.8,0.823529411764706,0.698924731182796,"ds2033","c@cm"
"Stu_8d9375367bf360f198f3716dbd674b3a",1,14,7,10,6,0,0,1.65,0.969047619047619,0,0,0,0,0,2032,7,4,7,0.0969047619047619,0,2,11,7,0,0,0.995833333333333,0,2690,8,4,7,7288.45,NA,NA,NA,0.75,0.964285714285714,0.688172043010753,"ds2033","c@cm"
"Stu_8d9375367bf360f198f3716dbd674b3a",2,2,1,1,1,0,0,0.05,0.025,0,0,0,0,0,658,1,0,0,0.025,0,2,11,7,0,0,0.995833333333333,0,2690,8,4,7,0.35,NA,NA,NA,0.888888888888889,0.766666666666667,0.688172043010753,"ds2033","c@cm"
"Stu_98343519b0a7c5fa2527666e4536ead5",1,6,2,3,2,0,0,1071.38333333333,178.680555555556,0,0,0,0,0,1017,2,0,3,59.5601851851852,0,3,3,2,0,0,178.680555555556,0,1017,2,0,3,0.133333333333333,NA,NA,NA,0.75,0.75,0.720430107526882,"ds2033","c@cm"
"Stu_9bec11b490513d1268c2aff70b516d06",1,4,3,3,3,1,1,3687.63333333333,922.141666666667,1.95,0.0833333333333333,0.466666666666667,1,1,1224,4,3,0,307.380555555556,0.333333333333333,1,3,3,1,1,922.141666666667,1.95,1224,4,3,0,0.75,1,1,1,1,0.785714285714286,0.698924731182796,"ds2033","c@cm"
"Stu_9d5a6b591e73c800b632f36a3af4354f",1,16,12,11,10,2,2,2.38333333333333,1.34791666666667,2.85,0.166666666666667,1.33333333333333,2,2,4727,14,26,3,0.122537878787879,0.0769230769230769,1.14285714285714,11,10,2,2,1.34791666666667,2.85,4727,14,26,3,0.2,0.764705882352941,0.692307692307692,1.23529411764706,0.75,0.571428571428571,0.720430107526882,"ds2033","c@cm"
"Stu_c1065a9214515eeaab73587e32029e47",1,10,7,9,7,9,9,3112.81666666667,1771.04833333333,59.45,2.55,83.9166666666667,10,13,6732,20,27,6,196.783148148148,0.333333333333333,0.5,8,6,9,9,2658.77222222222,59.45,7390,21,27,6,1361.16666666667,0.682119205298013,0.640776699029126,1.45033112582781,0.833333333333333,0.785714285714286,0.731182795698925,"ds2033","c@cm"
"Stu_c1065a9214515eeaab73587e32029e47",2,2,1,1,1,0,0,4081.41666666667,2040.70833333333,0,0,0,0,0,658,1,0,0,2040.70833333333,0,2,8,6,9,9,2658.77222222222,59.45,7390,21,27,6,13125.7833333333,NA,NA,NA,0.833333333333333,0.8,0.731182795698925,"ds2033","c@cm"
"Stu_c41cb8a460fb6e23e9167af34b8521e6",1,46,27,41,27,1,1,3002.36666666667,332.910869565217,2.75,1.31666666666667,1.51666666666667,4,4,17018,27,59,8,8.11977730646872,0.0169491525423729,1.7037037037037,77,59,10,10,1606.05531135531,9.75,30578,70,95,40,3.18333333333333,0.804878048780488,0.757575757575758,1.19512195121951,1,0.857142857142857,0.709677419354839,"ds2033","c@cm"
