"ds_anon_user_id","module","NRead","NRead_unique","NRead_trimmed","NRead_trimmed_unique","NAction","NAction_unique","TimeRead","TimeReadTrimmed","TimeAction","TimeActionToPage","TimePageToAction","CountActionToPage","CountPageToAction","wordcount","npages","nactivities","nfigures","reading_rate","percentActivities","percentPages","NRead_trimmed_overall","NRead_trimmed_unique_overall","NAction_overall","NAction_unique_overall","TimeReadTrimmed_overall","TimeAction_overall","wordcount_overall","npages_overall","nactivities_overall","nfigures_overall","retention_interval","correctness_alltries","correctness_firsttry","meanAttempts","pretestGrade","quizGrade","examGrade","dataset","domain"
"Stu_0053c62bea1895af411658c964d478ee",1,2,1,1,1,0,0,6915.2,3457.6,0,0,0,0,0,628,2,0,2,3457.6,0,1,118,76,27,27,2792.59666666667,51.5333333333333,50409,98,132,65,364.883333333333,NA,NA,NA,0.833333333333333,0.714285714285714,0.838709677419355,"ds490","c@cm"
"Stu_0053c62bea1895af411658c964d478ee",2,42,25,37,25,9,9,19641.0333333333,2351.76825396825,22.95,31.0333333333333,24.95,17,20,17708,41,51,17,63.5613041613042,0.176470588235294,1.02439024390244,118,76,27,27,2792.59666666667,51.5333333333333,50409,98,132,65,41521.9333333333,0.689473684210526,0.683823529411765,1.42631578947368,0.833333333333333,0.5,0.838709677419355,"ds490","c@cm"
"Stu_0053c62bea1895af411658c964d478ee",4,91,77,79,70,18,18,50.4666666666667,22.7745421245421,28.5833333333333,2.76666666666667,47.4666666666667,21,21,32073,98,81,46,0.288285343348634,0.222222222222222,0.928571428571429,118,76,27,27,2792.59666666667,51.5333333333333,50409,98,132,65,0.233333333333333,0.697183098591549,0.683168316831683,1.3943661971831,0.8,0.617647058823529,0.838709677419355,"ds490","c@cm"
"Stu_00a8d094c842d8283de90cd6539901b3",1,36,22,29,21,17,17,7401.56666666667,829.262962962963,85.4,3.53333333333333,89.5166666666667,19,21,16960,36,54,19,28.5952745849298,0.314814814814815,1,73,49,26,26,2480.74831649832,138,39325,81,90,66,0.75,0.678111587982833,0.722222222222222,1.45922746781116,0.833333333333333,0.892857142857143,0.720430107526882,"ds490","c@cm"
"Stu_00a8d094c842d8283de90cd6539901b3",2,42,24,31,22,4,4,4003.61666666667,484.387698412698,25.0333333333333,0.866666666666667,9.06666666666667,6,10,12437,32,16,23,15.6254096262161,0.25,1.3125,73,49,26,26,2480.74831649832,138,39325,81,90,66,0.6,0.6875,0.732142857142857,1.475,0.833333333333333,0.633333333333333,0.720430107526882,"ds490","c@cm"
"Stu_00a8d094c842d8283de90cd6539901b3",3,16,7,9,7,2,2,1170.43333333333,157.854166666667,8.68333333333333,0.433333333333333,42.8833333333333,3,5,7957,10,11,6,17.5393518518519,0.181818181818182,1.6,73,49,26,26,2480.74831649832,138,39325,81,90,66,0.1,0.906976744186046,0.925,1.09302325581395,0.666666666666667,0.730769230769231,0.720430107526882,"ds490","c@cm"
"Stu_00a8d094c842d8283de90cd6539901b3",4,5,3,4,3,3,3,11709.0666666667,2342.64666666667,18.8833333333333,0.166666666666667,13.35,3,5,1971,9,9,18,585.661666666667,0.333333333333333,0.555555555555556,73,49,26,26,2480.74831649832,138,39325,81,90,66,14705.4833333333,0.647058823529412,0.696969696969697,1.76470588235294,0.866666666666667,0.794117647058823,0.720430107526882,"ds490","c@cm"
"Stu_0123ff1dfbe5dd5e27ec8e207765d247",1,393,121,316,120,10,9,26833.8,2828.52557251908,23.1833333333333,1.98333333333333,23.0666666666667,12,16,123319,121,291,248,8.95103029278191,0.0343642611683849,3.24793388429752,316,120,10,9,2828.52557251908,23.1833333333333,123319,121,291,248,0.216666666666667,0.637096774193548,0.686046511627907,1.56451612903226,0.75,0.821428571428571,0.741935483870968,"ds490","c@cm"
"Stu_0177c0a63d39cf7c9168f3224f1084ec",1,11,9,9,8,17,17,2.98333333333333,1.67121212121212,75.95,2.51666666666667,105.6,18,20,10220,29,40,6,0.185690235690236,0.425,0.379310344827586,91,63,46,45,804.288333333333,172.366666666667,56746,114,173,107,0.633333333333333,0.71875,0.719512195121951,1.39732142857143,0.916666666666667,0.785714285714286,0.817204301075269,"ds490","c@cm"
"Stu_0177c0a63d39cf7c9168f3224f1084ec",2,61,34,52,33,17,16,7056.96666666667,701.344535519126,70.8166666666667,9.45,51.3833333333333,18,18,24680,46,69,52,13.4873949138293,0.246376811594203,1.32608695652174,91,63,46,45,804.288333333333,172.366666666667,56746,114,173,107,329.566666666667,0.781954887218045,0.788461538461538,1.33082706766917,0.833333333333333,0.766666666666667,0.817204301075269,"ds490","c@cm"
